,Car Name,Price,EMI,Features,Location,Car Brand,Model,Model Year,Gear,Driven (Kms),Ownership,Fuel,EMI (monthly)
0,2016 Maruti BalenoZETA 1.2 K12 Manual,"6,21,899","â‚¹13,834/month","1,03,354 km
1st Owner
Petrol",Hyderabad,Maruti,['BalenoZETA 1.2 K12'],2016,['Manual'],"1,03,354",1,Petrol,"13,834"
1,2015 Honda Jazz1.2 V AT Automatic,"5,24,199","â‚¹11,661/month","65,571 km
2nd Owner
Petrol",Hyderabad,Honda,['Jazz1.2 V AT'],2015,['Automatic'],"65,571",2,Petrol,"11,661"
2,2012 Maruti SwiftZDI Manual,"4,76,699","â‚¹10,604/month","78,819 km
2nd Owner
Diesel",Hyderabad,Maruti,['SwiftZDI'],2012,['Manual'],"78,819",2,Diesel,"10,604"
3,2016 Maruti Alto 800LXI Manual,"2,95,499","â‚¹6,573/month","20,215 km
2nd Owner
Petrol",Hyderabad,Maruti,['Alto 800LXI'],2016,['Manual'],"20,215",2,Petrol,"6,573"
4,2010 Hyundai i20SPORTZ 1.2 O Manual,"3,78,299","â‚¹8,415/month","79,222 km
2nd Owner
Petrol",Hyderabad,Hyundai,['i20SPORTZ 1.2 O'],2010,['Manual'],"79,222",2,Petrol,"8,415"
5,2015 Maruti Alto K10VXI Manual,"2,73,299","â‚¹6,079/month","2,34,695 km
1st Owner
Petrol",Hyderabad,Maruti,['Alto K10VXI'],2015,['Manual'],"2,34,695",1,Petrol,"6,079"
6,2018 Volkswagen AmeoHIGHLINE PLUS 1.0 Manual,"6,21,899","â‚¹13,834/month","65,235 km
1st Owner
Petrol",Hyderabad,Volkswagen,['AmeoHIGHLINE PLUS 1.0'],2018,['Manual'],"65,235",1,Petrol,"13,834"
7,2018 Maruti Vitara BrezzaVDI AMT Automatic,"8,00,499","â‚¹17,807/month","81,477 km
2nd Owner
Diesel",Hyderabad,Maruti,['Vitara BrezzaVDI AMT'],2018,['Automatic'],"81,477",2,Diesel,"17,807"
8,2020 Hyundai VENUE1.5 SX CRDI MT Manual,"10,42,799","â‚¹23,196/month","40,139 km
1st Owner
Diesel",Hyderabad,Hyundai,['VENUE1.5 SX CRDI MT'],2020,['Manual'],"40,139",1,Diesel,"23,196"
9,2020 Maruti CiazALPHA 1.5 AT VTVT SHVS ,"11,03,199","â‚¹24,540/month","35,019 km
1st Owner
Petrol",Hyderabad,Maruti,[],2020,[],"35,019",1,Petrol,"24,540"
10,2011 Hyundai i10MAGNA 1.2 KAPPA2 Manual,"2,96,999","â‚¹6,607/month","72,366 km
3rd Owner
Petrol",Hyderabad,Hyundai,['i10MAGNA 1.2 KAPPA2'],2011,['Manual'],"72,366",3,Petrol,"6,607"
11,2017 Honda JazzVX  1.2 Manual,"5,86,399","â‚¹13,044/month","75,366 km
2nd Owner
Petrol",Hyderabad,Honda,['JazzVX  1.2'],2017,['Manual'],"75,366",2,Petrol,"13,044"
12,2011 Maruti Alto K10LXI Manual,"2,40,999","â‚¹5,361/month","86,129 km
2nd Owner
Petrol",Hyderabad,Maruti,['Alto K10LXI'],2011,['Manual'],"86,129",2,Petrol,"5,361"
13,2018 Maruti CelerioVXI AMT Automatic,"4,82,499","â‚¹10,733/month","37,636 km
1st Owner
Petrol",Hyderabad,Maruti,['CelerioVXI AMT'],2018,['Automatic'],"37,636",1,Petrol,"10,733"
14,2019 Maruti AltoVXI Manual,"4,14,499","â‚¹9,220/month","41,432 km
1st Owner
Petrol",Hyderabad,Maruti,['AltoVXI'],2019,['Manual'],"41,432",1,Petrol,"9,220"
15,2016 Maruti Wagon R 1.0VXI Manual,"4,05,899","â‚¹9,029/month","39,789 km
1st Owner
Petrol",Hyderabad,Maruti,['Wagon R 1.0VXI'],2016,['Manual'],"39,789",1,Petrol,"9,029"
16,2017 Maruti Alto 800LXI Manual,"3,08,199","â‚¹6,856/month","61,247 km
1st Owner
Petrol",Hyderabad,Maruti,['Alto 800LXI'],2017,['Manual'],"61,247",1,Petrol,"6,856"
17,2011 Hyundai i10MAGNA 1.2 KAPPA2 Manual,"3,36,999","â‚¹7,496/month","16,968 km
2nd Owner
Petrol",Hyderabad,Hyundai,['i10MAGNA 1.2 KAPPA2'],2011,['Manual'],"16,968",2,Petrol,"7,496"
18,2013 Honda Brio1.2 VX AT I VTEC Automatic,"4,47,099","â‚¹9,945/month","27,101 km
2nd Owner
Petrol",Hyderabad,Honda,['Brio1.2 VX AT I VTEC'],2013,['Automatic'],"27,101",2,Petrol,"9,945"
19,2019 Maruti Eeco5 STR WITH AC PLUSHTR Manual,"4,59,599","â‚¹10,224/month","21,336 km
1st Owner
Petrol",Hyderabad,Maruti,['Eeco5 STR WITH AC PLUSHTR'],2019,['Manual'],"21,336",1,Petrol,"10,224"
20,2018 Maruti Alto K10VXI Manual,"3,82,199","â‚¹8,502/month","35,261 km
1st Owner
Petrol",Hyderabad,Maruti,['Alto K10VXI'],2018,['Manual'],"35,261",1,Petrol,"8,502"
21,2016 Volkswagen AmeoHIGHLINE 1.2 Manual,"5,31,799","â‚¹11,830/month","15,055 km
1st Owner
Petrol",Hyderabad,Volkswagen,['AmeoHIGHLINE 1.2'],2016,['Manual'],"15,055",1,Petrol,"11,830"
22,2015 Maruti CelerioVXI AMT Automatic,"3,95,999","â‚¹8,809/month","86,905 km
1st Owner
Petrol",Hyderabad,Maruti,['CelerioVXI AMT'],2015,['Automatic'],"86,905",1,Petrol,"8,809"
23,2014 Maruti SwiftVXI Manual,"4,85,199","â‚¹10,793/month","41,934 km
1st Owner
Petrol",Hyderabad,Maruti,['SwiftVXI'],2014,['Manual'],"41,934",1,Petrol,"10,793"
24,2016 Maruti Wagon R 1.0VXI Manual,"4,31,599","â‚¹9,601/month","55,405 km
1st Owner
Petrol",Hyderabad,Maruti,['Wagon R 1.0VXI'],2016,['Manual'],"55,405",1,Petrol,"9,601"
25,2017 Maruti SwiftLXI Manual,"5,57,199","â‚¹12,395/month","29,553 km
2nd Owner
Petrol",Hyderabad,Maruti,['SwiftLXI'],2017,['Manual'],"29,553",2,Petrol,"12,395"
26,2018 Datsun Redi GoT (O) S-DRIVE Manual,"3,14,599","â‚¹6,998/month","23,561 km
1st Owner
Petrol",Hyderabad,Datsun,['Redi GoT (O) S-DRIVE'],2018,['Manual'],"23,561",1,Petrol,"6,998"
27,2015 Maruti Swift DzireVXI 1.2 BS IV Manual,"5,11,699","â‚¹11,382/month","56,530 km
1st Owner
Petrol",Hyderabad,Maruti,['Swift DzireVXI 1.2 BS IV'],2015,['Manual'],"56,530",1,Petrol,"11,382"
28,2017 Maruti CelerioZXI Manual,"4,31,399","â‚¹9,596/month","51,010 km
1st Owner
Petrol",Hyderabad,Maruti,['CelerioZXI'],2017,['Manual'],"51,010",1,Petrol,"9,596"
29,2019 Volkswagen PoloTrendline 1.0 L Petrol Manual,"5,90,099","â‚¹13,126/month","51,864 km
2nd Owner
Petrol",Hyderabad,Volkswagen,['PoloTrendline 1.0 L Petrol'],2019,['Manual'],"51,864",2,Petrol,"13,126"
30,2018 Maruti IGNISZETA 1.2 K12 Manual,"5,70,099","â‚¹12,682/month","45,313 km
1st Owner
Petrol",Hyderabad,Maruti,['IGNISZETA 1.2 K12'],2018,['Manual'],"45,313",1,Petrol,"12,682"
31,2011 Hyundai i20SPORTZ 1.2 O Manual,"3,98,499","â‚¹8,864/month","83,883 km
5th Owner
Petrol",Hyderabad,Hyundai,['i20SPORTZ 1.2 O'],2011,['Manual'],"83,883",5,Petrol,"8,864"
32,2017 Renault KwidCLIMBER 1.0 AT Automatic,"4,16,899","â‚¹9,274/month","36,933 km
2nd Owner
Petrol",Hyderabad,Renault,['KwidCLIMBER 1.0 AT'],2017,['Automatic'],"36,933",2,Petrol,"9,274"
33,2018 Renault Kwid1.0 RXT Opt AT Automatic,"4,23,899","â‚¹9,429/month","29,061 km
1st Owner
Petrol",Hyderabad,Renault,['Kwid1.0 RXT Opt AT'],2018,['Automatic'],"29,061",1,Petrol,"9,429"
34,2020 Ford Ecosport1.5 TITANIUM PLUS TI VCT AT Automatic,"12,26,099","â‚¹27,274/month","5,634 km
1st Owner
Petrol",Hyderabad,Ford,['Ecosport1.5 TITANIUM PLUS TI VCT AT'],2020,['Automatic'],"5,634",1,Petrol,"27,274"
35,2013 Hyundai i10MAGNA 1.2 KAPPA2 Manual,"3,80,999","â‚¹8,475/month","26,355 km
1st Owner
Petrol",Hyderabad,Hyundai,['i10MAGNA 1.2 KAPPA2'],2013,['Manual'],"26,355",1,Petrol,"8,475"
36,2016 Hyundai i10SPORTZ 1.1 IRDE2 Manual,"4,58,899","â‚¹10,208/month","61,759 km
1st Owner
Petrol",Hyderabad,Hyundai,['i10SPORTZ 1.1 IRDE2'],2016,['Manual'],"61,759",1,Petrol,"10,208"
37,2015 Honda Brio1.2 S MT I VTEC Manual,"4,13,699","â‚¹9,203/month","68,623 km
1st Owner
Petrol",Hyderabad,Honda,['Brio1.2 S MT I VTEC'],2015,['Manual'],"68,623",1,Petrol,"9,203"
38,2015 Maruti OMNI ESTD Manual,"2,29,099","â‚¹5,096/month","220 km
1st Owner
Petrol",Hyderabad,Maruti,['OMNI ESTD'],2015,['Manual'],220,1,Petrol,"5,096"
39,2014 Maruti Wagon R 1.0VXI Manual,"3,68,799","â‚¹8,204/month","92,708 km
1st Owner
Petrol",Hyderabad,Maruti,['Wagon R 1.0VXI'],2014,['Manual'],"92,708",1,Petrol,"8,204"
40,2014 Honda Amaze1.2 SMT I VTEC Manual,"4,66,799","â‚¹10,384/month","38,466 km
1st Owner
Petrol",Hyderabad,Honda,['Amaze1.2 SMT I VTEC'],2014,['Manual'],"38,466",1,Petrol,"10,384"
41,2012 Maruti AltoLXI Manual,"2,65,999","â‚¹5,917/month","28,719 km
1st Owner
Petrol",Hyderabad,Maruti,['AltoLXI'],2012,['Manual'],"28,719",1,Petrol,"5,917"
42,2019 Maruti Eeco5 STR WITH AC PLUSHTR Manual,"4,34,599","â‚¹9,667/month","21,402 km
1st Owner
Petrol",Hyderabad,Maruti,['Eeco5 STR WITH AC PLUSHTR'],2019,['Manual'],"21,402",1,Petrol,"9,667"
43,2019 Volkswagen PoloHIGHLINE 1.0 PETROL Manual,"7,31,999","â‚¹16,283/month","16,019 km
1st Owner
Petrol",Hyderabad,Volkswagen,['PoloHIGHLINE 1.0 PETROL'],2019,['Manual'],"16,019",1,Petrol,"16,283"
44,2011 Hyundai i20SPORTZ 1.2 O Manual,"4,16,999","â‚¹9,276/month","27,013 km
1st Owner
Petrol",Hyderabad,Hyundai,['i20SPORTZ 1.2 O'],2011,['Manual'],"27,013",1,Petrol,"9,276"
45,2012 Toyota Fortuner3.0 AT 4X2 Automatic,"15,08,199","â‚¹33,549/month","1,58,977 km
2nd Owner
Diesel",Hyderabad,Toyota,['Fortuner3.0 AT 4X2'],2012,['Automatic'],"1,58,977",2,Diesel,"33,549"
46,2015 Maruti Swift DzireZXI 1.2 BS IV Manual,"5,96,099","â‚¹13,260/month","50,090 km
1st Owner
Petrol",Hyderabad,Maruti,['Swift DzireZXI 1.2 BS IV'],2015,['Manual'],"50,090",1,Petrol,"13,260"
47,2015 Maruti Swift DzireVXI 1.2 BS IV Manual,"5,26,299","â‚¹11,707/month","61,290 km
2nd Owner
Petrol",Hyderabad,Maruti,['Swift DzireVXI 1.2 BS IV'],2015,['Manual'],"61,290",2,Petrol,"11,707"
48,2018 Maruti BalenoZETA 1.2 K12 Manual,"6,37,799","â‚¹14,187/month","69,895 km
1st Owner
Petrol",Hyderabad,Maruti,['BalenoZETA 1.2 K12'],2018,['Manual'],"69,895",1,Petrol,"14,187"
49,2015 Hyundai EonMAGNA PLUS Manual,"3,28,799","â‚¹7,314/month","38,789 km
1st Owner
Petrol",Hyderabad,Hyundai,['EonMAGNA PLUS'],2015,['Manual'],"38,789",1,Petrol,"7,314"
50,2021 Honda Jazz1.2 ZX MT Manual,"9,90,499","â‚¹22,033/month","8,459 km
1st Owner
Petrol",Hyderabad,Honda,['Jazz1.2 ZX MT'],2021,['Manual'],"8,459",1,Petrol,"22,033"
51,2017 Honda Jazz1.2 V MT Manual,"6,11,499","â‚¹13,602/month","24,448 km
1st Owner
Petrol",Hyderabad,Honda,['Jazz1.2 V MT'],2017,['Manual'],"24,448",1,Petrol,"13,602"
52,2018 Maruti BalenoALPHA 1.2 K12 AMT Automatic,"7,45,099","â‚¹16,574/month","60,393 km
2nd Owner
Petrol",Hyderabad,Maruti,['BalenoALPHA 1.2 K12 AMT'],2018,['Automatic'],"60,393",2,Petrol,"16,574"
53,2016 Hyundai Grand i10SPORTS 1.2 VTVT Manual,"4,90,499","â‚¹10,911/month","68,792 km
2nd Owner
Petrol",Hyderabad,Hyundai,['Grand i10SPORTS 1.2 VTVT'],2016,['Manual'],"68,792",2,Petrol,"10,911"
54,2018 Maruti Vitara BrezzaZDI AMT Automatic,"9,46,099","â‚¹21,045/month","44,764 km
2nd Owner
Diesel",Hyderabad,Maruti,['Vitara BrezzaZDI AMT'],2018,['Automatic'],"44,764",2,Diesel,"21,045"
55,2017 Hyundai Grand i10SPORTS 1.2 VTVT Manual,"5,20,099","â‚¹11,569/month","19,376 km
2nd Owner
Petrol",Hyderabad,Hyundai,['Grand i10SPORTS 1.2 VTVT'],2017,['Manual'],"19,376",2,Petrol,"11,569"
56,2019 Maruti AltoLXI Manual,"3,68,599","â‚¹8,199/month","17,804 km
1st Owner
Petrol",Hyderabad,Maruti,['AltoLXI'],2019,['Manual'],"17,804",1,Petrol,"8,199"
57,2013 Hyundai Santro XingGLS Manual,"3,36,399","â‚¹7,483/month","23,602 km
1st Owner
Petrol",Hyderabad,Hyundai,['Santro XingGLS'],2013,['Manual'],"23,602",1,Petrol,"7,483"
58,2011 Hyundai i10MAGNA 1.2 KAPPA2 Manual,"3,34,399","â‚¹7,439/month","45,155 km
1st Owner
Petrol",Hyderabad,Hyundai,['i10MAGNA 1.2 KAPPA2'],2011,['Manual'],"45,155",1,Petrol,"7,439"
59,2019 Maruti Eeco5 STR WITH AC PLUSHTR Manual,"4,54,199","â‚¹10,103/month","23,410 km
1st Owner
Petrol",Hyderabad,Maruti,['Eeco5 STR WITH AC PLUSHTR'],2019,['Manual'],"23,410",1,Petrol,"10,103"
60,2019 Maruti Eeco7 STR Manual,"4,35,199","â‚¹9,681/month","16,480 km
1st Owner
Petrol",Hyderabad,Maruti,['Eeco7 STR'],2019,['Manual'],"16,480",1,Petrol,"9,681"
61,2019 Maruti Alto K10VXI Manual,"4,18,899","â‚¹9,318/month","18,838 km
1st Owner
Petrol",Hyderabad,Maruti,['Alto K10VXI'],2019,['Manual'],"18,838",1,Petrol,"9,318"
62,2017 Maruti Alto K10VXI Manual,"3,92,699","â‚¹8,735/month","23,366 km
1st Owner
Petrol",Hyderabad,Maruti,['Alto K10VXI'],2017,['Manual'],"23,366",1,Petrol,"8,735"
63,2017 Maruti ErtigaZDI PLUS SHVS Manual,"8,48,099","â‚¹18,865/month","83,971 km
1st Owner
Diesel",Hyderabad,Maruti,['ErtigaZDI PLUS SHVS'],2017,['Manual'],"83,971",1,Diesel,"18,865"
64,2017 Renault CapturPLATINE DUAL TONE Manual,"8,21,799","â‚¹18,280/month","26,909 km
1st Owner
Diesel",Hyderabad,Renault,['CapturPLATINE DUAL TONE'],2017,['Manual'],"26,909",1,Diesel,"18,280"
65,2014 Maruti SwiftVXI Manual,"4,64,199","â‚¹10,326/month","30,466 km
1st Owner
Petrol",Hyderabad,Maruti,['SwiftVXI'],2014,['Manual'],"30,466",1,Petrol,"10,326"
66,2017 Hyundai Creta1.6 SX PLUS AUTO PETROL Automatic,"10,84,299","â‚¹24,120/month","44,234 km
2nd Owner
Petrol",Hyderabad,Hyundai,['Creta1.6 SX PLUS AUTO PETROL'],2017,['Automatic'],"44,234",2,Petrol,"24,120"
67,2018 Hyundai Verna1.6 CRDI SX + AT Automatic,"10,30,299","â‚¹22,918/month","83,119 km
1st Owner
Diesel",Hyderabad,Hyundai,['Verna1.6 CRDI SX + AT'],2018,['Automatic'],"83,119",1,Diesel,"22,918"
68,2020 Maruti BalenoALPHA 1.2 K12 Manual,"8,43,999","â‚¹18,774/month","44,635 km
1st Owner
Petrol",Hyderabad,Maruti,['BalenoALPHA 1.2 K12'],2020,['Manual'],"44,635",1,Petrol,"18,774"
69,2019 Hyundai NEW SANTROASTA 1.1 MT Manual,"5,33,199","â‚¹11,861/month","29,693 km
1st Owner
Petrol",Hyderabad,Hyundai,['NEW SANTROASTA 1.1 MT'],2019,['Manual'],"29,693",1,Petrol,"11,861"
70,2016 Hyundai Grand i10SPORTZ 1.2 KAPPA VTVT Manual,"5,44,399","â‚¹12,110/month","11,197 km
2nd Owner
Petrol",Hyderabad,Hyundai,['Grand i10SPORTZ 1.2 KAPPA VTVT'],2016,['Manual'],"11,197",2,Petrol,"12,110"
71,2017 Maruti Swift DzireVDI OPT Manual,"6,63,299","â‚¹14,755/month","58,134 km
1st Owner
Diesel",Hyderabad,Maruti,['Swift DzireVDI OPT'],2017,['Manual'],"58,134",1,Diesel,"14,755"
72,2013 Maruti Wagon R 1.0VXI Manual,"3,43,999","â‚¹7,652/month","45,693 km
2nd Owner
Petrol",Hyderabad,Maruti,['Wagon R 1.0VXI'],2013,['Manual'],"45,693",2,Petrol,"7,652"
73,2017 Volkswagen PoloHIGHLINE1.2L PETROL Manual,"6,25,799","â‚¹13,921/month","13,505 km
2nd Owner
Petrol",Hyderabad,Volkswagen,['PoloHIGHLINE1.2L PETROL'],2017,['Manual'],"13,505",2,Petrol,"13,921"
74,2013 Maruti Alto 800LXI Manual,"2,67,799","â‚¹5,957/month","42,481 km
1st Owner
Petrol",Hyderabad,Maruti,['Alto 800LXI'],2013,['Manual'],"42,481",1,Petrol,"5,957"
75,2014 Maruti CiazZXI Manual,"6,01,199","â‚¹13,373/month","1,20,506 km
1st Owner
Petrol",Hyderabad,Maruti,['CiazZXI'],2014,['Manual'],"1,20,506",1,Petrol,"13,373"
76,2017 Toyota Innova Crysta2.8 ZX AT 7 STR Automatic,"19,32,899","â‚¹42,996/month","72,222 km
2nd Owner
Diesel",Hyderabad,Toyota,['Innova Crysta2.8 ZX AT 7 STR'],2017,['Automatic'],"72,222",2,Diesel,"42,996"
77,2018 Honda WR-V1.2 i-VTEC VX MT Manual,"8,32,499","â‚¹18,518/month","13,989 km
1st Owner
Petrol",Hyderabad,Honda,['WR-V1.2 i-VTEC VX MT'],2018,['Manual'],"13,989",1,Petrol,"18,518"
78,2017 Skoda OctaviaStyle 1.4 TSI MT Manual,"13,05,499","â‚¹29,040/month","47,264 km
1st Owner
Petrol",Hyderabad,Skoda,['OctaviaStyle 1.4 TSI MT'],2017,['Manual'],"47,264",1,Petrol,"29,040"
79,2018 Maruti BalenoALPHA 1.2 K12 Manual,"7,40,799","â‚¹16,479/month","16,676 km
1st Owner
Petrol",Hyderabad,Maruti,['BalenoALPHA 1.2 K12'],2018,['Manual'],"16,676",1,Petrol,"16,479"
80,2017 Maruti DzireVXI Manual,"6,68,599","â‚¹14,873/month","64,365 km
1st Owner
Petrol",Hyderabad,Maruti,['DzireVXI'],2017,['Manual'],"64,365",1,Petrol,"14,873"
81,2017 Maruti DzireVDI Manual,"6,33,399","â‚¹14,090/month","1,75,702 km
2nd Owner
Diesel",Hyderabad,Maruti,['DzireVDI'],2017,['Manual'],"1,75,702",2,Diesel,"14,090"
82,2015 Maruti BalenoSIGMA 1.2 K12 Manual,"5,25,799","â‚¹11,696/month","1,06,746 km
2nd Owner
Petrol",Hyderabad,Maruti,['BalenoSIGMA 1.2 K12'],2015,['Manual'],"1,06,746",2,Petrol,"11,696"
83,2017 Hyundai i20 Active1.2 S Manual,"6,33,799","â‚¹14,099/month","1,09,519 km
1st Owner
Petrol",Hyderabad,Hyundai,['i20 Active1.2 S'],2017,['Manual'],"1,09,519",1,Petrol,"14,099"
84,2018 Hyundai Verna1.6 CRDI SX + AT Automatic,"11,14,199","â‚¹24,785/month","32,419 km
1st Owner
Diesel",Hyderabad,Hyundai,['Verna1.6 CRDI SX + AT'],2018,['Automatic'],"32,419",1,Diesel,"24,785"
85,2012 Hyundai i20MAGNA O 1.2 Manual,"4,39,699","â‚¹9,781/month","41,887 km
1st Owner
Petrol",Hyderabad,Hyundai,['i20MAGNA O 1.2'],2012,['Manual'],"41,887",1,Petrol,"9,781"
86,2017 Maruti BalenoZETA 1.2 K12 AMT Automatic,"7,14,099","â‚¹15,885/month","45,211 km
1st Owner
Petrol",Hyderabad,Maruti,['BalenoZETA 1.2 K12 AMT'],2017,['Automatic'],"45,211",1,Petrol,"15,885"
87,2012 Maruti Swift DzireVXI 1.2 BS IV Manual,"4,59,299","â‚¹10,217/month","61,915 km
1st Owner
Petrol",Hyderabad,Maruti,['Swift DzireVXI 1.2 BS IV'],2012,['Manual'],"61,915",1,Petrol,"10,217"
88,2012 Maruti Swift DzireVDI BS IV Manual,"4,75,299","â‚¹10,573/month","1,29,986 km
2nd Owner
Diesel",Hyderabad,Maruti,['Swift DzireVDI BS IV'],2012,['Manual'],"1,29,986",2,Diesel,"10,573"
89,2017 Renault KwidCLIMBER 1.0 AT ,"4,33,499","â‚¹9,643/month","34,457 km
1st Owner
Petrol",Hyderabad,Renault,[],2017,[],"34,457",1,Petrol,"9,643"
90,2014 Hyundai Grand i10MAGNA 1.1 CRDI Manual,"4,29,099","â‚¹9,545/month","11,795 km
2nd Owner
Diesel",Hyderabad,Hyundai,['Grand i10MAGNA 1.1 CRDI'],2014,['Manual'],"11,795",2,Diesel,"9,545"
91,2009 Hyundai i10MAGNA Manual,"2,57,299","â‚¹5,723/month","75,533 km
2nd Owner
Petrol",Hyderabad,Hyundai,['i10MAGNA'],2009,['Manual'],"75,533",2,Petrol,"5,723"
92,2013 Maruti SwiftVDI Manual,"5,00,499","â‚¹11,133/month","65,102 km
1st Owner
Diesel",Hyderabad,Maruti,['SwiftVDI'],2013,['Manual'],"65,102",1,Diesel,"11,133"
93,2018 Renault KwidRXT 1.0 EASY-R  AT Automatic,"4,48,299","â‚¹9,972/month","32,161 km
1st Owner
Petrol",Hyderabad,Renault,['KwidRXT 1.0 EASY-R  AT'],2018,['Automatic'],"32,161",1,Petrol,"9,972"
94,2017 Maruti CelerioZXI OPT AMT Automatic,"4,97,899","â‚¹11,075/month","50,940 km
1st Owner
Petrol",Hyderabad,Maruti,['CelerioZXI OPT AMT'],2017,['Automatic'],"50,940",1,Petrol,"11,075"
95,2018 Maruti Vitara BrezzaZDI AMT Automatic,"8,75,099","â‚¹19,466/month","88,052 km
2nd Owner
Diesel",Hyderabad,Maruti,['Vitara BrezzaZDI AMT'],2018,['Automatic'],"88,052",2,Diesel,"19,466"
96,2014 Maruti Wagon R 1.0VXI Manual,"4,19,099","â‚¹9,323/month","41,503 km
1st Owner
Petrol",Hyderabad,Maruti,['Wagon R 1.0VXI'],2014,['Manual'],"41,503",1,Petrol,"9,323"
97,2018 Maruti Alto 800VXI (O) Manual,"3,40,299","â‚¹7,570/month","62,766 km
1st Owner
Petrol",Hyderabad,Maruti,['Alto 800VXI (O)'],2018,['Manual'],"62,766",1,Petrol,"7,570"
98,2010 Hyundai i10MAGNA 1.2 Manual,"3,16,199","â‚¹7,034/month","55,511 km
1st Owner
Petrol",Hyderabad,Hyundai,['i10MAGNA 1.2'],2010,['Manual'],"55,511",1,Petrol,"7,034"
99,2017 Maruti Alto K10VXI Manual,"3,62,899","â‚¹8,072/month","68,809 km
2nd Owner
Petrol",Hyderabad,Maruti,['Alto K10VXI'],2017,['Manual'],"68,809",2,Petrol,"8,072"
100,2017 Tata Safari Storme2.2 VX 4X2 Manual,"9,45,199","â‚¹21,025/month","44,522 km
1st Owner
Diesel",Hyderabad,Tata,['Safari Storme2.2 VX 4X2'],2017,['Manual'],"44,522",1,Diesel,"21,025"
101,2019 Maruti Eeco5 STR WITH AC PLUSHTR Manual,"4,59,599","â‚¹10,224/month","18,789 km
1st Owner
Petrol",Hyderabad,Maruti,['Eeco5 STR WITH AC PLUSHTR'],2019,['Manual'],"18,789",1,Petrol,"10,224"
102,2019 Maruti Eeco5 STR WITH AC PLUSHTR Manual,"4,59,599","â‚¹10,224/month","9,338 km
2nd Owner
Petrol",Hyderabad,Maruti,['Eeco5 STR WITH AC PLUSHTR'],2019,['Manual'],"9,338",2,Petrol,"10,224"
103,2012 Hyundai i10ERA 1.1 IRDE Manual,"3,43,199","â‚¹7,634/month","45,064 km
3rd Owner
Petrol",Hyderabad,Hyundai,['i10ERA 1.1 IRDE'],2012,['Manual'],"45,064",3,Petrol,"7,634"
104,2013 Hyundai i10MAGNA 1.2 KAPPA2 Manual,"3,69,799","â‚¹8,226/month","35,711 km
1st Owner
Petrol",Hyderabad,Hyundai,['i10MAGNA 1.2 KAPPA2'],2013,['Manual'],"35,711",1,Petrol,"8,226"
105,2017 Hyundai Creta1.6 SX PLUS PETROL Manual,"9,91,499","â‚¹22,055/month","51,628 km
1st Owner
Petrol",Hyderabad,Hyundai,['Creta1.6 SX PLUS PETROL'],2017,['Manual'],"51,628",1,Petrol,"22,055"
106,2014 Honda Amaze1.2 SMT I VTEC Manual,"4,55,899","â‚¹10,141/month","55,562 km
1st Owner
Petrol",Hyderabad,Honda,['Amaze1.2 SMT I VTEC'],2014,['Manual'],"55,562",1,Petrol,"10,141"
107,2016 Maruti Wagon R 1.0VXI Manual,"4,17,599","â‚¹9,289/month","78,656 km
1st Owner
Petrol",Hyderabad,Maruti,['Wagon R 1.0VXI'],2016,['Manual'],"78,656",1,Petrol,"9,289"
108,2016 Maruti Swift DzireVXI 1.2 BS IV Manual,"5,30,999","â‚¹11,812/month","69,673 km
1st Owner
Petrol",Hyderabad,Maruti,['Swift DzireVXI 1.2 BS IV'],2016,['Manual'],"69,673",1,Petrol,"11,812"
109,2018 Maruti S CrossZETA 1.3 SHVS Manual,"8,88,999","â‚¹19,775/month","68,278 km
2nd Owner
Diesel",Hyderabad,Maruti,['S CrossZETA 1.3 SHVS'],2018,['Manual'],"68,278",2,Diesel,"19,775"
110,2016 Maruti Vitara BrezzaVDI Manual,"7,26,299","â‚¹16,156/month","1,53,631 km
1st Owner
Diesel",Hyderabad,Maruti,['Vitara BrezzaVDI'],2016,['Manual'],"1,53,631",1,Diesel,"16,156"
111,2017 Maruti BalenoZETA 1.2 K12 Manual,"6,39,999","â‚¹14,236/month","64,311 km
1st Owner
Petrol",Hyderabad,Maruti,['BalenoZETA 1.2 K12'],2017,['Manual'],"64,311",1,Petrol,"14,236"
112,2019 Maruti SwiftVXI Manual,"6,02,699","â‚¹13,407/month","16,762 km
2nd Owner
Petrol",Hyderabad,Maruti,['SwiftVXI'],2019,['Manual'],"16,762",2,Petrol,"13,407"
113,2018 Maruti BalenoDELTA 1.2 K12 Manual,"6,34,299","â‚¹14,110/month","64,838 km
1st Owner
Petrol",Hyderabad,Maruti,['BalenoDELTA 1.2 K12'],2018,['Manual'],"64,838",1,Petrol,"14,110"
114,2010 Hyundai Santro XingGLS Manual,"2,54,999","â‚¹5,672/month","74,312 km
1st Owner
Petrol",Hyderabad,Hyundai,['Santro XingGLS'],2010,['Manual'],"74,312",1,Petrol,"5,672"
115,2012 Maruti Swift DzireVDI BS IV Manual,"4,88,799","â‚¹10,873/month","1,21,755 km
1st Owner
Diesel",Hyderabad,Maruti,['Swift DzireVDI BS IV'],2012,['Manual'],"1,21,755",1,Diesel,"10,873"
116,2014 Hyundai i10SPORTZ 1.1 IRDE2 Manual,"3,96,099","â‚¹8,811/month","30,581 km
1st Owner
Petrol",Hyderabad,Hyundai,['i10SPORTZ 1.1 IRDE2'],2014,['Manual'],"30,581",1,Petrol,"8,811"
