,Car Name,Price,EMI,Features,Location,Car Brand,Model,Model Year,Gear,Driven (Kms),Ownership,Fuel,EMI (monthly)
1605,2016 Maruti BalenoDELTA 1.2 K12 AT Automatic,"6,26,099","â‚¹13,927/month","26,581 km
1st Owner
Petrol",Mumbai,Maruti,['BalenoDELTA 1.2 K12 AT'],2016,['Automatic'],"26,581",1,Petrol,"13,927"
1606,2015 Hyundai Elite i20MAGNA 1.2 Manual,"5,06,999","â‚¹11,278/month","7,448 km
1st Owner
Petrol",Mumbai,Hyundai,['Elite i20MAGNA 1.2'],2015,['Manual'],"7,448",1,Petrol,"11,278"
1607,2016 Hyundai Creta1.6 E + VTVT Manual,"8,36,799","â‚¹18,614/month","24,915 km
1st Owner
Petrol",Mumbai,Hyundai,['Creta1.6 E + VTVT'],2016,['Manual'],"24,915",1,Petrol,"18,614"
1608,2016 Hyundai Creta1.4 S PLUS CRDI Manual,"8,30,499","â‚¹18,474/month","1,11,500 km
1st Owner
Diesel",Mumbai,Hyundai,['Creta1.4 S PLUS CRDI'],2016,['Manual'],"1,11,500",1,Diesel,"18,474"
1609,2015 Hyundai Creta1.6 CRDI SX PLUS AUTO Automatic,"9,10,499","â‚¹20,254/month","98,743 km
1st Owner
Diesel",Mumbai,Hyundai,['Creta1.6 CRDI SX PLUS AUTO'],2015,['Automatic'],"98,743",1,Diesel,"20,254"
1610,2020 Tata NEXONXM 1.2 Manual,"8,56,099","â‚¹19,043/month","11,132 km
1st Owner
Petrol",Mumbai,Tata,['NEXONXM 1.2'],2020,['Manual'],"11,132",1,Petrol,"19,043"
1611,2015 Hyundai i20 Active1.4 SX Manual,"6,02,499","â‚¹13,402/month","33,616 km
2nd Owner
Diesel",Mumbai,Hyundai,['i20 Active1.4 SX'],2015,['Manual'],"33,616",2,Diesel,"13,402"
1612,2014 Hyundai Elite i20MAGNA 1.2 Manual,"4,69,099","â‚¹10,435/month","36,694 km
2nd Owner
Petrol",Mumbai,Hyundai,['Elite i20MAGNA 1.2'],2014,['Manual'],"36,694",2,Petrol,"10,435"
1613,2018 Hyundai Elite i20ASTA 1.2 Manual,"6,86,399","â‚¹15,269/month","23,930 km
1st Owner
Petrol",Mumbai,Hyundai,['Elite i20ASTA 1.2'],2018,['Manual'],"23,930",1,Petrol,"15,269"
1614,2017 Jeep Compass2.0 LONGITUDE (O) Manual,"13,86,499","â‚¹30,842/month","27,904 km
1st Owner
Diesel",Mumbai,Jeep,['Compass2.0 LONGITUDE (O)'],2017,['Manual'],"27,904",1,Diesel,"30,842"
